#      x          Cp  
     1.00000    0.42131
     0.99157    0.01086
     0.97711    0.09827
     0.95647    0.06118
     0.93371    0.03653
     0.91066    0.01593
     0.88757   -0.00144
     0.86447   -0.01668
     0.84136   -0.03041
     0.81824   -0.04303
     0.79513   -0.05483
     0.77200   -0.06603
     0.74888   -0.07676
     0.72575   -0.08716
     0.70262   -0.09733
     0.67949   -0.10734
     0.65637   -0.11725
     0.63324   -0.12712
     0.61012   -0.13700
     0.58700   -0.14692
     0.56389   -0.15691
     0.54079   -0.16701
     0.51769   -0.17723
     0.49460   -0.18760
     0.47153   -0.19814
     0.44847   -0.20885
     0.42542   -0.21975
     0.40239   -0.23086
     0.37938   -0.24217
     0.35639   -0.25371
     0.33343   -0.26547
     0.31050   -0.27748
     0.28760   -0.28974
     0.26475   -0.30228
     0.24196   -0.31512
     0.21922   -0.32830
     0.19657   -0.34188
     0.17402   -0.35594
     0.15161   -0.37062
     0.12937   -0.38609
     0.10740   -0.40263
     0.08584   -0.42060
     0.06499   -0.44028
     0.04566   -0.46098
     0.02960   -0.47770
     0.01834   -0.47845
     0.01108   -0.44806
     0.00632   -0.36331
     0.00312   -0.17815
     0.00109    0.18273
     0.00011    0.68944
     0.00011    0.98759
     0.00109    0.90236
     0.00312    0.64223
     0.00632    0.40567
     0.01108    0.22437
     0.01834    0.08814
     0.02960   -0.01199
     0.04566   -0.07880
     0.06499   -0.11886
     0.08584   -0.14254
     0.10740   -0.15677
     0.12937   -0.16521
     0.15161   -0.16986
     0.17402   -0.17186
     0.19657   -0.17193
     0.21922   -0.17055
     0.24196   -0.16806
     0.26475   -0.16472
     0.28760   -0.16069
     0.31050   -0.15612
     0.33343   -0.15113
     0.35639   -0.14581
     0.37938   -0.14022
     0.40239   -0.13442
     0.42542   -0.12846
     0.44847   -0.12238
     0.47153   -0.11620
     0.49460   -0.10995
     0.51769   -0.10364
     0.54079   -0.09728
     0.56389   -0.09087
     0.58700   -0.08441
     0.61012   -0.07788
     0.63324   -0.07128
     0.65637   -0.06459
     0.67949   -0.05776
     0.70262   -0.05076
     0.72575   -0.04355
     0.74888   -0.03605
     0.77200   -0.02819
     0.79513   -0.01986
     0.81824   -0.01092
     0.84136   -0.00119
     0.86447    0.00960
     0.88757    0.02181
     0.91066    0.03601
     0.93371    0.05323
     0.95647    0.07419
     0.97711    0.10720
     0.99157    0.01667
     1.00000    0.42131
